NFT_name,price,status
CryptoPunk #1376,6.5396E-08,Lowest
CryptoPunk #1378,8295.898,Highest
CryptoPunk #1378,6839.85,Lowest
CryptoPunk #1379,315423.36,Highest
CryptoPunk #1379,17671.85,Lowest
CryptoPunk #138,187969.3659,Highest
CryptoPunk #138,29504.3,Lowest
CryptoPunk #1380,0,Highest
CryptoPunk #1380,0,Lowest
CryptoPunk #1384,0,Highest
CryptoPunk #1384,0,Lowest
CryptoPunk #1385,32330.13,Highest
CryptoPunk #1385,26.48688,Lowest
CryptoPunk #1386,496486.25,Highest
CryptoPunk #1386,66713.3253,Lowest
CryptoPunk #1387,26427.138,Highest
CryptoPunk #1387,26.48688,Lowest
CryptoPunk #1388,137506.42,Highest
CryptoPunk #1388,54795.9753,Lowest
CryptoPunk #1389,30885.2715,Highest
CryptoPunk #1389,21025.746,Lowest
CryptoPunk #139,271849.209,Highest
CryptoPunk #139,44870.7945,Lowest
CryptoPunk #1390,201.66,Highest
CryptoPunk #1390,201.66,Lowest
CryptoPunk #1392,467645.6002,Highest
CryptoPunk #1392,465.384,Lowest
CryptoPunk #1394,269143.56,Highest
CryptoPunk #1394,69.0925,Lowest
CryptoPunk #1396,68.4,Highest
CryptoPunk #1396,31.500468,Lowest
CryptoPunk #1397,31368,Highest
CryptoPunk #1397,26.621176,Lowest
CryptoPunk #1398,51553.7867,Highest
CryptoPunk #1398,35.232,Lowest
CryptoPunk #14,288.0265,Highest
CryptoPunk #14,201.609,Lowest
CryptoPunk #1401,371337.3,Highest
CryptoPunk #1401,25.2256,Lowest
CryptoPunk #1402,44200.48,Highest
CryptoPunk #1402,42261.336,Lowest
CryptoPunk #1403,212.7048,Highest
CryptoPunk #1403,178.749,Lowest
CryptoPunk #1404,17821.4,Highest
CryptoPunk #1404,17821.4,Lowest
CryptoPunk #1405,337017.85,Highest
CryptoPunk #1405,255148.575,Lowest
CryptoPunk #1406,39969,Highest
CryptoPunk #1406,39969,Lowest
CryptoPunk #1407,62.9184,Highest
CryptoPunk #1407,0,Lowest
CryptoPunk #1408,44458.25,Highest
CryptoPunk #1408,44458.25,Lowest
CryptoPunk #141,88034.045,Highest
CryptoPunk #141,71632.2255,Lowest
CryptoPunk #1411,457129.55,Highest
CryptoPunk #1411,457129.55,Lowest
CryptoPunk #1413,47083.12,Highest
CryptoPunk #1413,0,Lowest
CryptoPunk #1416,2170.615,Highest
CryptoPunk #1416,41.724,Lowest
CryptoPunk #1417,321675.2648,Highest
CryptoPunk #1417,0,Lowest
CryptoPunk #1419,60126.64,Highest
CryptoPunk #1419,60126.64,Lowest
CryptoPunk #1420,134277.62,Highest
CryptoPunk #1420,59971.4604,Lowest
CryptoPunk #1422,2066095,Highest
CryptoPunk #1422,0,Lowest
CryptoPunk #1424,125408,Highest
CryptoPunk #1424,65.6688,Lowest
CryptoPunk #1425,89.337,Highest
CryptoPunk #1425,33.59,Lowest
CryptoPunk #1426,228179.22,Highest
CryptoPunk #1426,0,Lowest
CryptoPunk #143,400942.8,Highest
CryptoPunk #143,1055.015,Lowest
CryptoPunk #1430,381046.5528,Highest
CryptoPunk #1430,0,Lowest
CryptoPunk #1433,972.1,Highest
CryptoPunk #1433,972.1,Lowest
CryptoPunk #1435,30471.7444,Highest
CryptoPunk #1435,21385.68,Lowest
CryptoPunk #1436,52069.08,Highest
CryptoPunk #1436,20.75,Lowest
CryptoPunk #1437,62.2414,Highest
CryptoPunk #1437,62.2414,Lowest
CryptoPunk #1438,149,Highest
CryptoPunk #1438,149,Lowest
CryptoPunk #1439,497848.64,Highest
CryptoPunk #1439,108410.72,Lowest
CryptoPunk #1440,144303.99,Highest
CryptoPunk #1440,459.925,Lowest
CryptoPunk #1443,1990.24,Highest
CryptoPunk #1443,1990.24,Lowest
CryptoPunk #1444,30719.84,Highest
CryptoPunk #1444,30719.84,Lowest
CryptoPunk #1445,62850.2391,Highest
CryptoPunk #1445,62850.2391,Lowest
CryptoPunk #1446,508769.24,Highest
CryptoPunk #1446,77127.4992,Lowest
CryptoPunk #1447,138095.25,Highest
CryptoPunk #1447,0,Lowest
CryptoPunk #1448,55379.765,Highest
CryptoPunk #1448,42173,Lowest
CryptoPunk #1451,76757.46,Highest
CryptoPunk #1451,45477.51,Lowest
CryptoPunk #1454,253630.89,Highest
CryptoPunk #1454,35545,Lowest
CryptoPunk #1456,146.365,Highest
CryptoPunk #1456,46.0305,Lowest
CryptoPunk #1458,47335.2,Highest
CryptoPunk #1458,245.64,Lowest
CryptoPunk #1461,442135.4468,Highest
CryptoPunk #1461,442135.4468,Lowest
CryptoPunk #1462,422303.1891,Highest
CryptoPunk #1462,143.5,Lowest
CryptoPunk #1463,368793,Highest
CryptoPunk #1463,69.0925,Lowest
CryptoPunk #1464,282055.152,Highest
CryptoPunk #1464,66.5025,Lowest
CryptoPunk #1465,112463.56,Highest
CryptoPunk #1465,112463.56,Lowest
CryptoPunk #1466,69.0925,Highest
CryptoPunk #1466,69.0925,Lowest
CryptoPunk #1467,50536.1307,Highest
CryptoPunk #1467,38.7621,Lowest
CryptoPunk #1469,17803.5786,Highest
CryptoPunk #1469,0,Lowest
CryptoPunk #1473,65204.412,Highest
CryptoPunk #1473,1592.192,Lowest
CryptoPunk #1474,84456.1278,Highest
CryptoPunk #1474,70.362,Lowest
CryptoPunk #1475,370471.5225,Highest
CryptoPunk #1475,43157.177,Lowest
CryptoPunk #1476,454718.6,Highest
CryptoPunk #1476,155281.2229,Lowest
CryptoPunk #1477,105.3,Highest
CryptoPunk #1477,105.3,Lowest
CryptoPunk #1479,408.26,Highest
CryptoPunk #1479,187.92,Lowest
CryptoPunk #1480,262783.36,Highest
CryptoPunk #1480,81.4,Lowest
CryptoPunk #1482,385487.69,Highest
CryptoPunk #1482,0,Lowest
CryptoPunk #1483,6138.8,Highest
