event_date,usd_price,last_fify_transactions_moving_avg
2021-07-04,41208.01,80838.94795411766
2021-07-04,41208.01,80953.04378745097
2021-07-04,40651.145,79849.01721882353
2021-07-04,51231.58,80177.83815019608
2021-07-05,57520.58736,80528.7182945098
2021-07-05,69698.1,80800.14427490195
2021-07-05,46465.4,80058.0932945098
2021-07-05,53435.21,80279.27388274507
2021-07-05,41679.4638,79939.32219254899
2021-07-05,44142.13,80040.27817294117
2021-07-05,44142.13,80093.29317294116
2021-07-05,46442.1673,79864.62586509802
2021-07-05,46442.1673,79718.81659647057
2021-07-05,48788.67,79935.65326313724
2021-07-05,67374.83,80432.88271411762
2021-07-05,41238.0425,80270.00354745095
2021-07-05,46465.4,78961.67805725487
2021-07-05,145785.1925,81059.2700670588
2021-07-05,130103.12,82807.09594941174
2021-07-05,78967.9473,83488.85962196076
2021-07-05,59289.8504,83890.46453176468
2021-07-05,42934.0296,83717.72001411761
2021-07-05,152499.4428,85820.14046117644
2021-07-05,53086.7195,85804.19378470586
2021-07-05,39495.59,85817.6759415686
2021-07-05,1209703.456,108275.99772980389
2021-07-05,51111.94,108505.56974156862
2021-07-05,58104.9827,108858.72077490194
2021-07-05,48068.4563,109102.42854549017
2021-07-06,39222.519,108823.28107490193
2021-07-06,41266.0452,108857.17578470585
2021-07-06,53834.83,108965.43505137251
2021-07-06,61503.5466,102309.7634160784
2021-07-06,61525.52,102376.16707372545
2021-07-06,109867,102346.63766196075
2021-07-06,70314.88,102196.71177960781
2021-07-06,85696.26,102994.34498352937
2021-07-06,38739.1042,101788.5293796078
2021-07-06,175787.2,104405.49918352936
2021-07-06,43924.8266,102064.905732549
2021-07-06,41683.5398,102074.2298462745
2021-07-06,48319.5066,101060.63283843137
2021-07-06,40475.0028,82200.20152078432
2021-07-06,39332.386,82202.7326972549
2021-07-06,48890.815,82388.31648156863
2021-07-06,50538.82,82510.12757960784
2021-07-06,76906.9,82751.51110901962
2021-07-06,39398.3062,82654.88076
2021-07-06,106570.99,83522.02555607841
2021-07-06,41749.46,83510.80437960784
2021-07-06,48319.5066,83551.9751952941
2021-07-06,40650.79,83541.04931294116
2021-07-06,41727.4866,83551.23512862745
2021-07-06,175787.2,86200.9616972549
2021-07-06,39552.12,85971.95267764706
2021-07-06,46144.14,85748.88508235292
2021-07-06,41309.992,85192.25551372545
2021-07-06,59328.18,85444.46688627447
2021-07-06,40650.79,85193.79198431369
2021-07-07,42960.7,85218.9142627451
2021-07-07,76632.6,85855.98230196077
2021-07-07,51065.178,85991.72834117647
2021-07-07,53410.6,86128.36427647057
2021-07-07,45747.34,86114.7402117647
2021-07-07,43889.58,86018.6796235294
2021-07-07,55732.8,85790.40452549019
2021-07-07,91726.9,86780.38212352942
2021-07-07,41799.6,86688.8958490196
2021-07-07,91146.35,85617.54599607842
2021-07-07,51088.4,84068.23776078432
2021-07-07,116110,84796.51330392157
2021-07-07,44121.8,84499.10055098038
2021-07-07,48650.09,84611.18016666666
2021-07-07,44121.8,82486.12834705882
2021-07-07,139332,84177.21227843135
2021-07-07,41799.6,84222.38894509802
2021-07-07,41799.6,61322.313337254884
2021-07-07,51599.284,61331.86910196077
2021-07-08,55623.36,61283.20983333331
2021-07-08,43988.8072,61203.21671372548
2021-07-08,42876.34,61274.86026274509
2021-07-08,40558.7,61260.990749019606
2021-07-08,50640.434,61198.35553333333
2021-07-08,40558.7,60787.67226666667
2021-07-08,69506.0236,60944.15272941176
2021-07-08,41694.3436,59607.43397647059
2021-07-08,48670.44,59183.03319215686
2021-07-08,46352.8,58411.5928
2021-07-08,44730.452,58529.070207843135
2021-07-08,46306.4472,55990.23191764707
2021-07-08,43988.8072,55991.486439215696
2021-07-08,46329.6236,56082.58612156864
2021-07-08,67188.3836,56452.564101960794
2021-07-08,43757.0432,56516.91783529413
2021-07-08,50756.316,56740.91646274511
2021-07-08,92705.6,57600.02989411766
2021-07-08,46329.6236,57517.49663137255
2021-07-09,0,56009.518200000006
2021-07-09,0,55237.002392156865
2021-07-09,0,53147.37513725491
2021-07-09,50791.2,53324.66415686275
2021-07-09,38093.4,53124.152262745105
2021-07-09,39088.061,53093.51051764707
2021-07-09,39151.55,53043.001956862754
2021-07-09,59256.4,50758.08430980393
2021-07-09,48420.944,50931.98281960785
2021-07-09,0,50027.19576078432
2021-07-09,0,49217.19591764707
2021-07-09,0,48053.89827058824
2021-07-09,0,47256.82395686275
2021-07-09,46346.97,47323.22140784315
2021-07-09,0,45820.62140784315
2021-07-09,38093.4,45566.272819607846
2021-07-09,38834.105,45280.459192156864
2021-07-09,0,44383.452525490204
2021-07-09,38939.92,44286.400368627445
2021-07-09,0,43193.60036862745
2021-07-09,39045.735,42160.6363490196
2021-07-09,0,41341.0363490196
2021-07-09,39151.55,40321.53046666666
2021-07-09,39151.55,40087.47458431373
2021-07-09,43384.15,38661.47752549019
2021-07-09,65605.3,39082.72262352941
2021-07-09,63489,39373.68164313725
2021-07-09,49733.05,39483.70615294118
2021-07-09,65605.3,38038.08458431372
2021-07-09,105815,39293.28850588235
2021-07-09,126978,40963.4532117647
2021-07-09,84228.74,41603.24646666667
2021-07-09,115232.535,42772.05381960784
2021-07-09,190467,45644.17524705882
2021-07-09,40103.885,45589.81338431372
2021-07-09,132226.424,47387.2197372549
2021-07-09,74726.553,47859.49658039215
2021-07-09,51574.231,48075.487384313725
2021-07-09,44442.3,47584.04182352941
2021-07-09,67721.6,48094.380184313726
2021-07-09,63489,48384.940184313724
2021-07-09,0,47476.061752941176
2021-07-10,0,46598.994066666666
2021-07-10,39705.0562,46469.55502745098
2021-07-10,53684.5,46659.66665098039
2021-07-10,143874.46,48572.31050196078
2021-07-10,40392.2178,48046.895486274516
2021-07-10,0,47188.91424705883
2021-07-10,41508.8554,47007.5914901961
2021-07-10,45094.98,46074.049921568636
2021-07-10,42947.6,46007.73573333336
2021-07-10,139364.962,48740.38204705884
2021-07-10,43913.921,49601.43932156864
2021-07-10,49368.2662,50569.44454117649
2021-07-10,40800.22,50373.54297254904
2021-07-10,83318.344,51260.30658039217
2021-07-10,49389.74,51462.30028627451
2021-07-10,44021.29,51557.78538431374
2021-07-10,92315.8662,52206.01021176472
2021-07-10,75158.3,52730.27209411766
