NFTnames,average_price
"CryptoPunk #2533",388781.76
"CryptoPunk #1943",388227.00995
"CryptoPunk #5972",384870.42
"CryptoPunk #4598",384710.85
"CryptoPunk #1110",383367.1632
"CryptoPunk #7163",383147.7640000001
"CryptoPunk #2065",382948.708
"CryptoPunk #6648",382325.27699999994
"CryptoPunk #3616",382200.68450000003
"CryptoPunk #8668",381558.4034
"CryptoPunk #794",379897.4133333333
"CryptoPunk #740",379713.62785
"CryptoPunk #4690",379646.4
"CryptoPunk #8110",379611.9
"CryptoPunk #7944",378530.4
"CryptoPunk #6099",377740.6849
"CryptoPunk #6502",377461.582375
"CryptoPunk #8339",377329.55
"CryptoPunk #8907",376855.81766666664
"CryptoPunk #4536",376765
"CryptoPunk #6881",376629.0468
"CryptoPunk #1839",376241.325
"CryptoPunk #4974",376155.1
"CryptoPunk #4453",375631.57325
"CryptoPunk #974",375142.5
"CryptoPunk #4855",375034.6984
"CryptoPunk #3831",374589.54624999996
"CryptoPunk #698",374520.8537333333
"CryptoPunk #6690",374175.0232
"CryptoPunk #5606",373391.85
"CryptoPunk #2890",373109.55
"CryptoPunk #8286",372762.15
"CryptoPunk #537",371125.2
"CryptoPunk #6859",370914.4
"CryptoPunk #2058",370203.8834
"CryptoPunk #8426",369582
"CryptoPunk #5841",369227.635
"CryptoPunk #4441",369038.8868
"CryptoPunk #713",368843.45333333337
"CryptoPunk #3859",368326.2295
"CryptoPunk #9845",367810.22306666663
"CryptoPunk #2426",367576.325
"CryptoPunk #9019",367354.7923333333
"CryptoPunk #6517",366318.94
"CryptoPunk #4324",366025.66233333334
"CryptoPunk #1289",365972.30645000003
"CryptoPunk #5601",365837.475
"CryptoPunk #5060",365183.68
"CryptoPunk #5184",364212.2
"CryptoPunk #7244",363941.97209999996
"CryptoPunk #891",363821.70863333327
"CryptoPunk #6427",363600.5693
"CryptoPunk #4795",362439.75
"CryptoPunk #1717",362372.8307
"CryptoPunk #2523",362236.99
"CryptoPunk #9041",360186.9404
"CryptoPunk #2749",359990.33499999996
"CryptoPunk #4279",359553.6
"CryptoPunk #7622",359318.78882857144
"CryptoPunk #9297",358841.49366666673
"CryptoPunk #2017",357834.333
"CryptoPunk #7821",357779.86089999997
"CryptoPunk #2275",357691.83999999997
