buyer_address,eth_price,usd_price,seller_address,event_date,token_id,transaction_hash,name
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,100,388758,0x92814702b5af9fb0624411b65b61e89104a568c8,05/09/2021,6652,0x199c914530f25066e41af147e077065d1675c42bab03375d0003071bd8e18b40,CryptoPunk #6652
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,95,374305.7,0x2f700deed41639e1ae24d193f7d67453c4002ee3,04/09/2021,8233,0x938a7d786d17872c1a30a4ef3605ad663b5d61bada4bb50cbbf2500ffdc45d62,CryptoPunk #8233
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,114,391020,0x2d90331b87246af3a99dfe2672ebd114d887be71,01/09/2021,2473,0xd7ac651caf2d5dba91710933bf9516e16bb032a14b2df1ca61bdaeaf9efa0976,CryptoPunk #2473
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,107,367010,0xc77fa6c05b4e472feee7c0f9b20e70c5bf33a99b,01/09/2021,9913,0x52fef6f68c0bb9fd237cb172f76865a7a9a5ddd9713b9725398a5d288d8c2457,CryptoPunk #9913
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,110,355192.2,0x07cde58672343e8a9103856c9ef40e676af03d96,31/08/2021,9108,0x5724715311cce63b93e02fcd092db59768f1e9ad9c5029781ab2ac0d5299d8c0,CryptoPunk #9108
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,118.49,382606.5798,0x4c02b89566f45f699406b580e33ae31eda1b004f,31/08/2021,3204,0xc09a43abe47713f3de51a5fa382417a805e29cf0de41e7867de9678ae614ed31,CryptoPunk #3204
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,14.5,46783.525,0x514d6f52efd23b2e10c822b119aae75881d547ff,30/08/2021,8727,0x474b0b8c751bf1c74d6f1a066b51bf85a6c5f89629a4b17065fdd0c984aa7f1e,CryptoPunk #8727
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,120,387174,0xb532872296e2a72299ba304c2f9251b3ee4d6ef0,30/08/2021,2458,0xcdc92c871a64dea2f85db9003e036f280cab626720a7582a8443329246b36619,CryptoPunk #2458
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,130,422238.7,0xf36972bbff0bb63dbc8f2c8a93625647b32e024b,29/08/2021,9767,0x49289e075f8794ff2129dc400c32b2053f148fe0a08da9fd24ea54e17e0ef5ee,CryptoPunk #9767
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,115,373518.85,0xf75fcd9849d3365d436d0cd889ed500150c9482a,29/08/2021,2853,0x5876f5a2c8d5cd11eccaac7164161b428ebf99aac1cd697c5e3d0970326048bf,CryptoPunk #2853
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,164.99,535885.8701,0x577ebc5de943e35cdf9ecb5bbe1f7d7cb6c7c647,29/08/2021,3740,0x68b34ea11a189f7e97eaf64958cf03921f4dfdcac1f9abbf5cc267bc82e058a7,CryptoPunk #3740
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,125,405998.75,0x8000bc928f61bf855579b14b196fa17e94873722,29/08/2021,2142,0x6c02441342cc5fbe0a4f0886327a623e1118fb0f911a06e95a3ddea48b344d1f,CryptoPunk #2142
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,140,454718.6,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,29/08/2021,4194,0x34aa9f237e66644b432b73caa6e9326a12e10295ced6095711986b7f258c62ab,CryptoPunk #4194
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,148,484747.36,0x16f53c952a995d17e2a6e88ff35063b723148616,28/08/2021,9843,0x3311c625295cfa0135d789a323c67b21afe39503dfd9cdb005cceb8a8796050e,CryptoPunk #9843
