event_date,usd_price,daily_average,ten_percent_of_earlier_DA,new_daily_average
05/08/2021,98089.56,161000.5009,16100.05009,163193.9832
05/08/2021,108961.1529,161000.5009,16100.05009,163193.9832
05/08/2021,346038.17,161000.5009,16100.05009,163193.9832
05/08/2021,326937.9529,161000.5009,16100.05009,163193.9832
05/08/2021,125309.4129,161000.5009,16100.05009,163193.9832
05/08/2021,146807.3748,161000.5009,16100.05009,163193.9832
05/08/2021,136235.5,161000.5009,16100.05009,163193.9832
05/08/2021,408706.5,161000.5009,16100.05009,163193.9832
05/08/2021,237049.77,161000.5009,16100.05009,163193.9832
05/08/2021,95283.1087,161000.5009,16100.05009,163193.9832
05/08/2021,98035.0658,161000.5009,16100.05009,163193.9832
05/08/2021,95637.321,161000.5009,16100.05009,163193.9832
05/08/2021,95909.792,161000.5009,16100.05009,163193.9832
05/08/2021,95364.85,161000.5009,16100.05009,163193.9832
05/08/2021,96182.263,161000.5009,16100.05009,163193.9832
05/08/2021,97544.618,161000.5009,16100.05009,163193.9832
05/08/2021,258847.45,161000.5009,16100.05009,163193.9832
05/08/2021,263452.2099,161000.5009,16100.05009,163193.9832
05/08/2021,97817.089,161000.5009,16100.05009,163193.9832
05/08/2021,100759.7758,161000.5009,16100.05009,163193.9832
05/08/2021,98089.56,161000.5009,16100.05009,163193.9832
05/08/2021,98062.3129,161000.5009,16100.05009,163193.9832
05/08/2021,97953.3245,161000.5009,16100.05009,163193.9832
05/08/2021,175114.387,161000.5009,16100.05009,163193.9832
05/08/2021,98770.7375,161000.5009,16100.05009,163193.9832
05/08/2021,148333.2124,161000.5009,16100.05009,163193.9832
05/08/2021,651205.69,161000.5009,16100.05009,163193.9832
05/08/2021,106209.1958,161000.5009,16100.05009,163193.9832
05/08/2021,119859.9929,161000.5009,16100.05009,163193.9832
05/08/2021,130786.08,161000.5009,16100.05009,163193.9832
05/08/2021,136208.2529,161000.5009,16100.05009,163193.9832
05/08/2021,204353.25,161000.5009,16100.05009,163193.9832
05/08/2021,100787.0229,161000.5009,16100.05009,163193.9832
05/08/2021,340588.75,161000.5009,16100.05009,163193.9832
05/08/2021,245223.9,161000.5009,16100.05009,163193.9832
05/08/2021,103538.98,161000.5009,16100.05009,163193.9832
05/08/2021,119887.24,161000.5009,16100.05009,163193.9832
05/08/2021,122611.95,161000.5009,16100.05009,163193.9832
05/08/2021,130786.08,161000.5009,16100.05009,163193.9832
05/08/2021,340588.75,161000.5009,16100.05009,163193.9832
05/08/2021,104901.335,161000.5009,16100.05009,163193.9832
05/08/2021,108988.4,161000.5009,16100.05009,163193.9832
05/08/2021,136153.7587,161000.5009,16100.05009,163193.9832
05/08/2021,108933.9058,161000.5009,16100.05009,163193.9832
05/08/2021,111713.11,161000.5009,16100.05009,163193.9832
05/08/2021,144409.63,161000.5009,16100.05009,163193.9832
05/08/2021,163210.129,161000.5009,16100.05009,163193.9832
05/08/2021,177106.15,161000.5009,16100.05009,163193.9832
05/08/2021,215252.09,161000.5009,16100.05009,163193.9832
05/08/2021,149831.8029,161000.5009,16100.05009,163193.9832
05/08/2021,253398.03,161000.5009,16100.05009,163193.9832
05/08/2021,158033.18,161000.5009,16100.05009,163193.9832
05/08/2021,116317.8699,161000.5009,16100.05009,163193.9832
05/08/2021,114437.82,161000.5009,16100.05009,163193.9832
05/08/2021,217976.8,161000.5009,16100.05009,163193.9832
05/08/2021,117162.53,161000.5009,16100.05009,163193.9832
05/08/2021,136208.2529,161000.5009,16100.05009,163193.9832
05/08/2021,130786.08,161000.5009,16100.05009,163193.9832
05/08/2021,245196.6529,161000.5009,16100.05009,163193.9832
05/08/2021,114437.82,161000.5009,16100.05009,163193.9832
05/08/2021,269746.29,161000.5009,16100.05009,163193.9832
05/08/2021,286094.55,161000.5009,16100.05009,163193.9832
05/08/2021,134873.145,161000.5009,16100.05009,163193.9832
05/08/2021,231600.35,161000.5009,16100.05009,163193.9832
05/08/2021,271108.645,161000.5009,16100.05009,163193.9832
05/08/2021,203045.3892,161000.5009,16100.05009,163193.9832
05/08/2021,114410.5729,161000.5009,16100.05009,163193.9832
05/08/2021,442765.375,161000.5009,16100.05009,163193.9832
05/08/2021,163482.6,161000.5009,16100.05009,163193.9832
05/08/2021,128061.37,161000.5009,16100.05009,163193.9832
05/08/2021,245223.9,161000.5009,16100.05009,163193.9832
05/08/2021,119614.769,161000.5009,16100.05009,163193.9832
05/08/2021,155281.2229,161000.5009,16100.05009,163193.9832
05/08/2021,326937.9529,161000.5009,16100.05009,163193.9832
05/08/2021,197541.475,161000.5009,16100.05009,163193.9832
05/08/2021,136235.5,161000.5009,16100.05009,163193.9832
05/08/2021,113075.465,161000.5009,16100.05009,163193.9832
06/08/2021,155621.95,196989.8308,19698.98308,201680.0648
06/08/2021,152792.46,196989.8308,19698.98308,201680.0648
06/08/2021,160997.981,196989.8308,19698.98308,201680.0648
06/08/2021,393299.11,196989.8308,19698.98308,201680.0648
06/08/2021,161280.93,196989.8308,19698.98308,201680.0648
06/08/2021,152707.5753,196989.8308,19698.98308,201680.0648
06/08/2021,152764.1651,196989.8308,19698.98308,201680.0648
06/08/2021,282892.4102,196989.8308,19698.98308,201680.0648
06/08/2021,152707.5753,196989.8308,19698.98308,201680.0648
06/08/2021,152735.8702,196989.8308,19698.98308,201680.0648
06/08/2021,152707.5753,196989.8308,19698.98308,201680.0648
06/08/2021,240053.9316,196989.8308,19698.98308,201680.0648
06/08/2021,154207.205,196989.8308,19698.98308,201680.0648
06/08/2021,161280.93,196989.8308,19698.98308,201680.0648
06/08/2021,160403.7881,196989.8308,19698.98308,201680.0648
06/08/2021,166939.91,196989.8308,19698.98308,201680.0648
06/08/2021,155621.95,196989.8308,19698.98308,201680.0648
06/08/2021,226585.5592,196989.8308,19698.98308,201680.0648
06/08/2021,158451.44,196989.8308,19698.98308,201680.0648
06/08/2021,251824.61,196989.8308,19698.98308,201680.0648
06/08/2021,197187.1581,196989.8308,19698.98308,201680.0648
06/08/2021,166939.91,196989.8308,19698.98308,201680.0648
06/08/2021,154207.205,196989.8308,19698.98308,201680.0648
06/08/2021,195234.81,196989.8308,19698.98308,201680.0648
06/08/2021,194838.6814,196989.8308,19698.98308,201680.0648
06/08/2021,186718.0451,196989.8308,19698.98308,201680.0648
06/08/2021,495160.75,196989.8308,19698.98308,201680.0648
06/08/2021,183916.85,196989.8308,19698.98308,201680.0648
06/08/2021,155621.95,196989.8308,19698.98308,201680.0648
06/08/2021,197187.1581,196989.8308,19698.98308,201680.0648
06/08/2021,181087.36,196989.8308,19698.98308,201680.0648
06/08/2021,226359.2,196989.8308,19698.98308,201680.0648
06/08/2021,206439.5904,196989.8308,19698.98308,201680.0648
06/08/2021,147982.327,196989.8308,19698.98308,201680.0648
06/08/2021,93373.17,196989.8308,19698.98308,201680.0648
06/08/2021,186746.34,196989.8308,19698.98308,201680.0648
06/08/2021,198036.0051,196989.8308,19698.98308,201680.0648
